Company;Ticker
ABNAMRO;ABN.AS
Agrifirm;0
AgroFair;0
Amazon;AMZN
Armor;0
asr;ASRNL.AS
bam;BAMNB.AS
Bouwinvest;0
Burggroup;0
CocaCola;KO
Dataflex;0
DS-Smith;SMDS.L
Essity;ESSITY-B.ST
Facebook;FB
Forbo;FORN.SW
FrieslandCampina;0
Google;GOOG
GrandVision;0
Grolsch;0
heineken;HEINY
HEMA;0
Henkel;HEN3.DE
HP;HPQ
IKEA;0
ING;ING
Intel;INTC
IOC;0
KPN;KPN.AS
Microsoft;MSFT
NNgroup;NN.AS
Optigroup;0
Otrium;0
PepsiCo;PEP
Philips;PHG
ProcterandGamble;PG
RAI;0
Renewi;RWI.AS
Robeco;0
Rockwool;ROCK-B.CO
Royal-Avebe;0
Shell;0
SHVenergy;0
TenneT;0
Tesla;TSLA
Trivium;0
Trust;0
VanLanschot;VLK.AS
VPCAPITAL;0
